#                      u                  N_bl(u)
1.035113994523784697e+01 9.260000000000000000e+02
1.557607209269593618e+01 1.619000000000000000e+03
2.080100424015402183e+01 2.050000000000000000e+03
2.602593638761211281e+01 2.022000000000000000e+03
3.125086853507020024e+01 2.066000000000000000e+03
3.647580068252828767e+01 2.296000000000000000e+03
4.170073282998637865e+01 2.765000000000000000e+03
4.692566497744446252e+01 2.389000000000000000e+03
5.215059712490255350e+01 3.026000000000000000e+03
5.737552927236063738e+01 2.703000000000000000e+03
6.260046141981872836e+01 3.026000000000000000e+03
6.782539356727681934e+01 3.352000000000000000e+03
7.305032571473492453e+01 2.231000000000000000e+03
7.827525786219300130e+01 2.954000000000000000e+03
8.350019000965107807e+01 2.970000000000000000e+03
8.872512215710918326e+01 2.616000000000000000e+03
9.395005430456726003e+01 2.022000000000000000e+03
9.917498645202536522e+01 2.338000000000000000e+03
1.043999185994834420e+02 2.042000000000000000e+03
1.096248507469415188e+02 1.864000000000000000e+03
1.148497828943996240e+02 1.730000000000000000e+03
1.200747150418577007e+02 9.450000000000000000e+02
1.252996471893158059e+02 1.203000000000000000e+03
1.305245793367738827e+02 8.410000000000000000e+02
1.357495114842319595e+02 6.110000000000000000e+02
1.409744436316900646e+02 4.250000000000000000e+02
1.461993757791481698e+02 3.330000000000000000e+02
1.514243079266062182e+02 2.840000000000000000e+02
1.566492400740643234e+02 3.470000000000000000e+02
1.618741722215224286e+02 3.310000000000000000e+02
1.670991043689805053e+02 2.850000000000000000e+02
1.723240365164385821e+02 4.140000000000000000e+02
1.775489686638966873e+02 3.370000000000000000e+02
1.827739008113547641e+02 3.260000000000000000e+02
1.879988329588128408e+02 3.900000000000000000e+02
1.932237651062709460e+02 3.510000000000000000e+02
1.984486972537290512e+02 3.580000000000000000e+02
2.036736294011870996e+02 4.140000000000000000e+02
2.088985615486452048e+02 3.200000000000000000e+02
2.141234936961033100e+02 3.130000000000000000e+02
2.193484258435613867e+02 3.210000000000000000e+02
2.245733579910194635e+02 2.770000000000000000e+02
2.297982901384775687e+02 2.870000000000000000e+02
2.350232222859356455e+02 2.780000000000000000e+02
2.402481544333937222e+02 2.370000000000000000e+02
2.454730865808518274e+02 2.440000000000000000e+02
2.506980187283099326e+02 2.220000000000000000e+02
2.559229508757680094e+02 1.830000000000000000e+02
2.611478830232260862e+02 2.100000000000000000e+02
2.663728151706841345e+02 1.700000000000000000e+02
2.715977473181422965e+02 1.560000000000000000e+02
2.768226794656003449e+02 1.590000000000000000e+02
2.820476116130584501e+02 1.120000000000000000e+02
2.872725437605165553e+02 7.000000000000000000e+01
2.924974759079746036e+02 5.400000000000000000e+01
2.977224080554327088e+02 3.200000000000000000e+01
3.029473402028908140e+02 3.300000000000000000e+01
3.081722723503488623e+02 3.900000000000000000e+01
3.133972044978069675e+02 8.000000000000000000e+00
3.186221366452650727e+02 6.000000000000000000e+00
3.238470687927231211e+02 1.000000000000000000e+00
3.290720009401812831e+02 1.100000000000000000e+01
3.342969330876393315e+02 3.000000000000000000e+01
3.395218652350973798e+02 7.000000000000000000e+00
3.447467973825555418e+02 8.000000000000000000e+00
3.499717295300135902e+02 1.600000000000000000e+01
3.551966616774716385e+02 1.200000000000000000e+01
3.604215938249298006e+02 0.000000000000000000e+00
3.656465259723878489e+02 0.000000000000000000e+00
3.708714581198459541e+02 0.000000000000000000e+00
3.760963902673040593e+02 0.000000000000000000e+00
3.813213224147621077e+02 8.000000000000000000e+00
3.865462545622202128e+02 4.000000000000000000e+00
3.917711867096783180e+02 3.000000000000000000e+00
3.969961188571363664e+02 2.000000000000000000e+00
4.022210510045944716e+02 1.300000000000000000e+01
4.074459831520525768e+02 1.100000000000000000e+01
4.126709152995106251e+02 1.000000000000000000e+00
4.178958474469687872e+02 0.000000000000000000e+00
4.231207795944268355e+02 4.000000000000000000e+00
4.283457117418848838e+02 7.000000000000000000e+00
4.335706438893430459e+02 1.000000000000000000e+00
4.387955760368010942e+02 0.000000000000000000e+00
4.440205081842591426e+02 0.000000000000000000e+00
4.492454403317173046e+02 0.000000000000000000e+00
4.544703724791753530e+02 1.000000000000000000e+00
4.596953046266334013e+02 1.000000000000000000e+00
4.649202367740915633e+02 1.000000000000000000e+00
